algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.015918958031837915,0.09181463837158943,0.09181463837158943,0.9506726457399103,0.8975
DT-FedDQL,0.017366136034732273,0.09181463837158943,0.09181463837158943,0.9464285714285714,0.8975
DT-FedDQL,0.017366136034732273,0.09224772628843655,0.09224772628843655,0.9466666666666667,0.8975
DT-FedDQL,0.017366136034732273,0.09268081420528368,0.09268081420528368,0.9469026548672567,0.8975
DT-FedDQL,0.017366136034732273,0.09311390212213079,0.09311390212213079,0.947136563876652,0.8975
DT-FedDQL,0.017366136034732273,0.09354699003897791,0.09354699003897791,0.9473684210526315,0.8975
DT-FedDQL,0.017366136034732273,0.09398007795582504,0.09398007795582504,0.9475982532751092,0.8975
DT-FedDQL,0.017366136034732273,0.09441316587267215,0.09441316587267215,0.9478260869565217,0.8975
DT-FedDQL,0.017366136034732273,0.09484625378951927,0.09484625378951927,0.948051948051948,0.8975
DT-FedDQL,0.017366136034732273,0.09527934170636639,0.09527934170636639,0.9482758620689655,0.8975
DT-FedDQL,0.017366136034732273,0.09571242962321351,0.09571242962321351,0.9484978540772532,0.8975
DT-FedDQL,0.017366136034732273,0.09614551754006063,0.09614551754006063,0.9487179487179487,0.8975
DT-FedDQL,0.017366136034732273,0.09657860545690775,0.09657860545690775,0.948936170212766,0.8975
DT-FedDQL,0.017366136034732273,0.09701169337375487,0.09701169337375487,0.9491525423728814,0.8975
DT-FedDQL,0.01881331403762663,0.09701169337375487,0.09701169337375487,0.9451476793248945,0.8962283285269891
DT-FedDQL,0.020260492040520984,0.09701169337375487,0.09701169337375487,0.9411764705882353,0.8962116724239774
DT-FedDQL,0.02170767004341534,0.09701169337375487,0.09701169337375487,0.9372384937238494,0.891728569507863
DT-FedDQL,0.023154848046309694,0.09701169337375487,0.09701169337375487,0.9333333333333333,0.8909235387989627
DT-FedDQL,0.024602026049204053,0.09701169337375487,0.09701169337375487,0.9294605809128631,0.8904009193718779
DT-FedDQL,0.02604920405209841,0.09701169337375487,0.09701169337375487,0.9256198347107438,0.8897471060447562
DT-FedDQL,0.027496382054992764,0.09701169337375487,0.09701169337375487,0.9218106995884774,0.8892045406111907
